survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,3,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,3,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,3,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,4,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,3,3,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,2,1,2,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,4,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,3,2,NA,NA,NA,2,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,4,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,3,NA,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,2,1,NA,NA,NA,2,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,3,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,3,3,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,3,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,1,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,3,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,3,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,4,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,2,1,2,4,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,3,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,4,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,4,4,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,2,1,2,1,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
2012,3,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,1,2,4,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
2012,3,1,NA,NA,NA,1,1,2,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,3,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,1,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,3,1,NA,NA,NA,NA,1,2,2,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,1,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
2012,3,2,NA,NA,NA,NA,1,2,2,2,NA,NA,NA
2012,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,1,1,NA,NA,NA,NA,1,2,1,1,NA,NA,NA
2012,2,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
